x,y,t,intensity
2066,1406,0,106
2067,1406,0,106
2068,1406,0,107
2069,1406,0,107
2070,1406,0,108
2071,1406,0,109
2072,1406,0,108
2073,1406,0,107
2074,1406,0,107
2075,1406,0,109
2076,1406,0,110
2077,1406,0,110
2078,1406,0,109
2079,1406,0,109
2080,1406,0,109
2081,1406,0,110
2082,1406,0,110
2083,1406,0,109
2084,1406,0,108
2085,1406,0,108
2086,1406,0,108
2087,1406,0,109
2088,1406,0,109
2089,1406,0,108
2090,1406,0,107
2091,1406,0,107
2092,1406,0,106
2093,1406,0,107
2094,1406,0,107
2095,1406,0,106
2096,1406,0,105
2097,1406,0,105
2098,1406,0,106
2099,1406,0,108
2000,1407,0,97
2001,1407,0,99
2002,1407,0,100
2003,1407,0,99
2004,1407,0,98
2005,1407,0,98
2006,1407,0,100
2007,1407,0,102
2008,1407,0,104
2009,1407,0,103
2010,1407,0,102
2011,1407,0,102
2012,1407,0,103
2013,1407,0,105
2014,1407,0,107
2015,1407,0,107
2016,1407,0,108
2017,1407,0,110
2018,1407,0,110
2019,1407,0,108
2020,1407,0,106
2021,1407,0,107
2022,1407,0,108
2023,1407,0,109
2024,1407,0,108
2025,1407,0,108
2026,1407,0,108
2027,1407,0,108
2028,1407,0,107
2029,1407,0,106
2030,1407,0,105
2031,1407,0,105
2032,1407,0,104
2033,1407,0,104
2034,1407,0,106
2035,1407,0,107
2036,1407,0,105
2037,1407,0,102
2038,1407,0,101
2039,1407,0,102
2040,1407,0,105
2041,1407,0,106
2042,1407,0,105
2043,1407,0,105
2044,1407,0,106
2045,1407,0,107
2046,1407,0,108
2047,1407,0,106
2048,1407,0,104
2049,1407,0,104
2050,1407,0,103
2051,1407,0,103
2052,1407,0,106
2053,1407,0,107
2054,1407,0,107
2055,1407,0,108
2056,1407,0,107
2057,1407,0,107
2058,1407,0,107
2059,1407,0,107
2060,1407,0,106
2061,1407,0,106
2062,1407,0,104
2063,1407,0,103
2064,1407,0,105
2065,1407,0,106
2066,1407,0,106
2067,1407,0,105
2068,1407,0,107
2069,1407,0,106
2070,1407,0,107
2071,1407,0,108
2072,1407,0,107
2073,1407,0,106
2074,1407,0,107
2075,1407,0,109
2076,1407,0,111
2077,1407,0,109
2078,1407,0,109
2079,1407,0,109
2080,1407,0,109
2081,1407,0,109
2082,1407,0,109
2083,1407,0,110
2084,1407,0,110
2085,1407,0,109
2086,1407,0,107
2087,1407,0,108
2088,1407,0,108
2089,1407,0,107
2090,1407,0,107
2091,1407,0,107
2092,1407,0,107
2093,1407,0,108
2094,1407,0,108
2095,1407,0,108
2096,1407,0,107
2097,1407,0,107
2098,1407,0,108
2099,1407,0,109
2000,1408,0,97
2001,1408,0,100
2002,1408,0,100
2003,1408,0,100
2004,1408,0,99
2005,1408,0,98
2006,1408,0,101
2007,1408,0,103
2008,1408,0,103
2009,1408,0,103
2010,1408,0,102
2011,1408,0,103
2012,1408,0,104
2013,1408,0,104
2014,1408,0,106
2015,1408,0,107
2016,1408,0,107
2017,1408,0,108
2018,1408,0,108
2019,1408,0,107
2020,1408,0,106
2021,1408,0,106
2022,1408,0,107
2023,1408,0,107
2024,1408,0,108
2025,1408,0,108
2026,1408,0,107
2027,1408,0,107
2028,1408,0,107
2029,1408,0,107
2030,1408,0,107
2031,1408,0,105
2032,1408,0,106
2033,1408,0,106
2034,1408,0,106
2035,1408,0,107
2036,1408,0,104
2037,1408,0,102
2038,1408,0,100
2039,1408,0,102
2040,1408,0,104
2041,1408,0,104
2042,1408,0,104
2043,1408,0,104
2044,1408,0,105
2045,1408,0,107
2046,1408,0,106
2047,1408,0,105
2048,1408,0,105
2049,1408,0,105
2050,1408,0,105
2051,1408,0,106
2052,1408,0,105
2053,1408,0,107
2054,1408,0,108
2055,1408,0,108
2056,1408,0,107
2057,1408,0,107
2058,1408,0,107
2059,1408,0,107
2060,1408,0,106
2061,1408,0,105
2062,1408,0,105
2063,1408,0,106
2064,1408,0,106
2065,1408,0,105
2066,1408,0,105
2067,1408,0,106
2068,1408,0,106
2069,1408,0,107
2070,1408,0,106
2071,1408,0,107
2072,1408,0,107
2073,1408,0,107
2074,1408,0,109
2075,1408,0,110
2076,1408,0,111
2077,1408,0,110
2078,1408,0,108
2079,1408,0,109
2080,1408,0,110
2081,1408,0,110
2082,1408,0,110
2083,1408,0,111
2084,1408,0,110
2085,1408,0,109
2086,1408,0,108
2087,1408,0,108
2088,1408,0,108
2089,1408,0,108
2090,1408,0,108
2091,1408,0,107
2092,1408,0,108
2093,1408,0,108
2094,1408,0,109
2095,1408,0,110
2096,1408,0,111
2097,1408,0,112
2098,1408,0,112
2099,1408,0,111
2000,1409,0,97
2001,1409,0,100
2002,1409,0,100
2003,1409,0,101
2004,1409,0,100
2005,1409,0,99
2006,1409,0,101
2007,1409,0,103
2008,1409,0,104
2009,1409,0,103
2010,1409,0,104
2011,1409,0,104
2012,1409,0,105
2013,1409,0,105
2014,1409,0,106
2015,1409,0,106
2016,1409,0,108
2017,1409,0,108
2018,1409,0,107
2019,1409,0,106
2020,1409,0,106
2021,1409,0,106
2022,1409,0,106
2023,1409,0,106
2024,1409,0,108
2025,1409,0,109
2026,1409,0,108
2027,1409,0,108
2028,1409,0,108
2029,1409,0,108
2030,1409,0,108
2031,1409,0,107
2032,1409,0,107
2033,1409,0,106
2034,1409,0,106
2035,1409,0,106
2036,1409,0,104
2037,1409,0,103
2038,1409,0,102
2039,1409,0,102
2040,1409,0,103
2041,1409,0,104
2042,1409,0,105
2043,1409,0,105
2044,1409,0,106
2045,1409,0,106
2046,1409,0,106
2047,1409,0,106
2048,1409,0,107
2049,1409,0,107
2050,1409,0,107
2051,1409,0,107
2052,1409,0,107
2053,1409,0,108
2054,1409,0,109
2055,1409,0,108
2056,1409,0,108
2057,1409,0,108
2058,1409,0,107
2059,1409,0,107
2060,1409,0,105
2061,1409,0,105
2062,1409,0,106
2063,1409,0,107
2064,1409,0,106
2065,1409,0,106
2066,1409,0,106
2067,1409,0,107
2068,1409,0,107
2069,1409,0,107
2070,1409,0,107
2071,1409,0,107
2072,1409,0,107
2073,1409,0,108
2074,1409,0,109
2075,1409,0,111
2076,1409,0,111
2077,1409,0,110
2078,1409,0,109
2079,1409,0,110
2080,1409,0,110
2081,1409,0,110
2082,1409,0,110
2083,1409,0,111
2084,1409,0,111
2085,1409,0,110
2086,1409,0,108
2087,1409,0,107
2088,1409,0,108
2089,1409,0,109
2090,1409,0,108
2091,1409,0,108
2092,1409,0,107
2093,1409,0,108
2094,1409,0,109
2095,1409,0,110
2096,1409,0,111
2097,1409,0,111
2098,1409,0,112
2099,1409,0,111
2000,1410,0,98
2001,1410,0,98
2002,1410,0,100
2003,1410,0,99
2004,1410,0,100
2005,1410,0,99
2006,1410,0,101
2007,1410,0,102
2008,1410,0,104
2009,1410,0,105
2010,1410,0,105
2011,1410,0,105
2012,1410,0,106
2013,1410,0,106
2014,1410,0,106
2015,1410,0,106
2016,1410,0,108
2017,1410,0,108
2018,1410,0,107
2019,1410,0,107
2020,1410,0,107
2021,1410,0,106
2022,1410,0,106
2023,1410,0,106
2024,1410,0,107
2025,1410,0,108
2026,1410,0,108
2027,1410,0,108
2028,1410,0,109
2029,1410,0,109
2030,1410,0,110
2031,1410,0,109
2032,1410,0,109
2033,1410,0,106
2034,1410,0,105
2035,1410,0,105
2036,1410,0,105
2037,1410,0,106
2038,1410,0,105
2039,1410,0,104
2040,1410,0,104
2041,1410,0,105
2042,1410,0,106
2043,1410,0,107
2044,1410,0,105
2045,1410,0,105
2046,1410,0,105
2047,1410,0,106
2048,1410,0,109
2049,1410,0,110
2050,1410,0,109
2051,1410,0,108
2052,1410,0,107
2053,1410,0,109
2054,1410,0,110
2055,1410,0,109
2056,1410,0,108
2057,1410,0,108
2058,1410,0,108
2059,1410,0,107
2060,1410,0,106
2061,1410,0,106
2062,1410,0,106
2063,1410,0,106
2064,1410,0,106
2065,1410,0,106
2066,1410,0,107
2067,1410,0,107
2068,1410,0,107
2069,1410,0,107
2070,1410,0,107
2071,1410,0,107
2072,1410,0,108
2073,1410,0,109
2074,1410,0,110
2075,1410,0,110
2076,1410,0,110
2077,1410,0,110
2078,1410,0,112
2079,1410,0,112
2080,1410,0,112
2081,1410,0,111
2082,1410,0,111
2083,1410,0,111
2084,1410,0,111
2085,1410,0,110
2086,1410,0,109
2087,1410,0,108
2088,1410,0,108
2089,1410,0,109
2090,1410,0,109
2091,1410,0,108
2092,1410,0,108
2093,1410,0,109
2094,1410,0,110
2095,1410,0,110
2096,1410,0,110
2097,1410,0,109
2098,1410,0,110
2099,1410,0,110
2000,1411,0,98
2001,1411,0,98
2002,1411,0,99
2003,1411,0,99
2004,1411,0,100
2005,1411,0,100
2006,1411,0,101
2007,1411,0,102
2008,1411,0,103
2009,1411,0,104
2010,1411,0,105
2011,1411,0,106
2012,1411,0,106
2013,1411,0,105
2014,1411,0,106
2015,1411,0,107
2016,1411,0,107
2017,1411,0,107
2018,1411,0,107
2019,1411,0,108
2020,1411,0,109
2021,1411,0,108
2022,1411,0,106
2023,1411,0,105
2024,1411,0,107
2025,1411,0,108
2026,1411,0,108
2027,1411,0,108
2028,1411,0,108
2029,1411,0,109
2030,1411,0,111
2031,1411,0,111
2032,1411,0,110
2033,1411,0,107
2034,1411,0,104
2035,1411,0,103
2036,1411,0,105
2037,1411,0,106
2038,1411,0,106
2039,1411,0,104
2040,1411,0,103
2041,1411,0,104
2042,1411,0,106
2043,1411,0,106
2044,1411,0,104
2045,1411,0,104
2046,1411,0,105
2047,1411,0,107
2048,1411,0,110
2049,1411,0,110
2050,1411,0,109
2051,1411,0,107
2052,1411,0,106
2053,1411,0,108
2054,1411,0,109
2055,1411,0,109
2056,1411,0,108
2057,1411,0,108
2058,1411,0,109
2059,1411,0,108
2060,1411,0,107
2061,1411,0,107
2062,1411,0,106
2063,1411,0,105
2064,1411,0,105
2065,1411,0,106
2066,1411,0,106
2067,1411,0,106
2068,1411,0,106
2069,1411,0,106
2070,1411,0,107
2071,1411,0,107
2072,1411,0,109
2073,1411,0,110
2074,1411,0,111
2075,1411,0,111
2076,1411,0,110
2077,1411,0,111
2078,1411,0,114
2079,1411,0,114
2080,1411,0,113
2081,1411,0,112
2082,1411,0,111
2083,1411,0,111
2084,1411,0,111
2085,1411,0,111
2086,1411,0,110
2087,1411,0,109
2088,1411,0,108
2089,1411,0,109
2090,1411,0,110
2091,1411,0,110
2092,1411,0,109
2093,1411,0,110
2094,1411,0,110
2095,1411,0,110
2096,1411,0,109
